             BARCODE  INDEX     DATE     S.TIME    E.TIME   CYCLE             JOB        RESULT       USER          LOTINFO        MACHINE              SIDE              COMMENT        ,,,,,,,,,,,,,,,,,,,,,,
                         28202 2022-05-27   10:54:24  10:54:35     11      BCM-949510AI013     GOOD     KohYoung ZOO                  L10 T,,,,,,,,,,,,,,,,,,,,,,
Component ID,Volume(%),Height(um),Area(%),OffsetX(mm),OffsetY(mm),Barcode,  Date  , Time ,Job,Vol_Min(%),Vol_Max(%),Height_Low(um),Height_High(um),Area_Min(%),Area_Max(%),OffsetX_Error(mm),OffsetY_Error(mm),Library_Name,Result,Spec,PinNumber,Image
C37,114.702,134.499,102.338,0.004,0.007,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.254,0.2032,1100009002-03,GOOD,,1,
C37,111.918,128.907,104.184,0.001,0.006,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.254,0.2032,1100009002-03,GOOD,,2,
C38,117.09,136.568,102.885,-0.003,0,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.2032,0.254,1100009002-03,GOOD,,1,
C38,116.658,134.231,104.29,-0.001,-0.005,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.2032,0.254,1100009002-03,GOOD,,2,
C39,120.478,138.317,104.524,0.007,0.008,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.2032,0.254,1100009002-03,GOOD,,1,
C39,118.165,135.981,104.278,0.01,0.005,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.2032,0.254,1100009002-03,GOOD,,2,
C40,108.108,123.82,104.773,0.001,-0.004,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.254,0.2032,1100009002-03,GOOD,,1,
C40,111.219,128.006,104.263,-0.003,-0.003,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.254,0.2032,1100009002-03,GOOD,,2,
C41,114.602,131.214,104.809,0.013,0.006,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.2032,0.254,1100009002-03,GOOD,,1,
C41,117.802,137.47,102.831,0.013,0.004,,2022/5/27,10:54:35,D:\ADVANTECH\B19AK10AI23-10AI_KYSPI\BCM-949510AI013.mdb,50,220,50,220,50,220,0.2032,0.254,1100009002-03,GOOD,,2,
